0,1,2
-3.837542299300209e-06,-4.887710119388637e-05,-4.242783473423727e-06
2.8119692644080685e-06,3.542830576562817e-05,3.0755798441210147e-06
3.013721355472717e-06,3.7596791215106424e-05,3.2640325497148863e-06
2.75014043205107e-06,3.226195459710852e-05,2.8020091293436777e-06
-1.2408175598954828e-05,-0.00016357213176212653,-1.4195919262123572e-05
-1.2743460572499233e-05,-0.00016890922681187646,-1.465863464110249e-05
-1.2677446709833948e-05,-0.00016702234272172398,-1.4495404316958849e-05
-7.173888529623244e-06,-9.325490165896903e-05,-8.09397719469153e-06
-7.139034828558949e-06,-9.117297972887671e-05,-7.914136222317388e-06
-7.047369104620954e-06,-8.953880126514185e-05,-7.772531852815082e-06
-2.4834493101990986e-06,-3.2265891616993836e-05,-2.800479933607045e-06
-2.356026687872786e-06,-3.0691687880804795e-05,-2.663804484752311e-06
-2.355682565804317e-06,-3.068574172898626e-05,-2.6632891685175914e-06
-2.466304989488841e-06,-3.204395134863605e-05,-2.7812162730945697e-06
-6.406423855523152e-06,-8.147144539446151e-05,-7.07219100897076e-06
-6.530998293864689e-06,-8.282854881190663e-05,-7.190118249084531e-06
-6.566034275817729e-06,-8.281984467140587e-05,-7.189607405648927e-06
-6.530966457684494e-06,-8.124019097632423e-05,-7.053094556638522e-06
-2.221141627790473e-06,-2.401567892775847e-05,-2.0869567808068006e-06
-2.2188125613283154e-06,-2.269763872827026e-05,-1.973238343012107e-06
-3.0410434959283673e-06,-3.2239760111147196e-05,-2.8020474937937248e-06
-3.0710094923186365e-06,-3.2511011561275084e-05,-2.8256530902889447e-06
-3.0609016491697278e-06,-3.285974043558853e-05,-2.8556673326214623e-06
-3.918889052450846e-06,-4.5176101348744144e-05,-3.924045794388959e-06
-3.893029060581103e-06,-4.5518870256203736e-05,-3.9534379252474145e-06
-3.856303844406223e-06,-4.55330671348674e-05,-3.954410684695127e-06
-3.8017362829882825e-06,-4.5606947856333275e-05,-3.96040976338117e-06
-3.858216359078462e-06,-4.81212409987453e-05,-4.177697001183729e-06
-1.0725749855011513e-05,-0.00013914467191158205,-1.2077099705379395e-05
-1.0792814950418453e-05,-0.00014165807728973873,-1.2294385760335436e-05
-1.0748012034766842e-05,-0.0001417309093197027,-1.2300362566181494e-05
-1.0728676298065086e-05,-0.00014173434731331753,-1.2300526965312665e-05
-1.0720481970982485e-05,-0.0001417350485540457,-1.230053143791864e-05
-1.071537106624423e-05,-0.00014173543471337,-1.2300529808927328e-05
-1.0708183077658627e-05,-0.0001417352660452026,-1.2300466115753099e-05
-1.0689789060308672e-05,-0.00014170988153185246,-1.2298150480906996e-05
-1.057122781118357e-05,-0.00014074343228612557,-1.2213965885398945e-05
-7.668275656184722e-06,-0.00010549674422576278,-9.153444146139026e-06
-7.539387384633684e-06,-0.00010453142475710771,-9.069285975657643e-06
-7.4875161992558e-06,-0.0001045198140174985,-9.067929240817658e-06
-7.419389146909466e-06,-0.00010492858023180878,-9.102726137197834e-06
-8.328698259578544e-06,-0.00011954737468937817,-1.037007931853931e-05
-8.356921542942573e-06,-0.00011986188614936746,-1.0397404642606993e-05
-8.365664627346308e-06,-0.00011669443544751688,-1.0124215368961024e-05
-2.959916539891051e-08,-1.8244058941640987e-06,-1.5758550053635077e-07
-1.7849592639075542e-07,-1.4833576214607617e-06,-1.2918786371626288e-07
-8.089463843185193e-06,-0.0001044105780484146,-9.062646697940874e-06
-8.24013475790613e-06,-0.00010724570156950553,-9.30825793808639e-06
-8.275284638546023e-06,-0.00010727132226856437,-9.310708785132304e-06
-8.304844099721913e-06,-0.00010545551177864137,-9.154265131937663e-06
-3.5841922603657723e-06,-3.982364628501158e-05,-3.4600318155888893e-06
-3.58994114804979e-06,-3.8084703683183456e-05,-3.3100585351933623e-06
-3.7402008341584257e-06,-4.08302108163736e-05,-3.5479353577713215e-06
-1.1460052561893254e-05,-0.00014227702314115797,-1.2352386784931408e-05
-1.1525166146081408e-05,-0.0001450790515065372,-1.2594559010938918e-05
-1.1379592636689144e-05,-0.0001451638881922526,-1.2600882654421991e-05
-1.1070441054590896e-05,-0.00014504808442519096,-1.258877915959928e-05
-9.919758852938725e-06,-0.00013996150865479263,-1.2142102078917144e-05
-9.610935553260697e-06,-0.00013984372593498813,-1.2129829748006603e-05
-9.461129170245243e-06,-0.00013985766794496476,-1.213000826795351e-05
-9.325974048548399e-06,-0.00014008592674094795,-1.214877566236491e-05
-9.642272921082381e-06,-0.00014797373355207325,-1.2831404091494935e-05
-3.1517124521073374e-05,-0.0004339141893744006,-3.76484742134907e-05
-3.192969189318726e-05,-0.00044179417421149524,-3.833109944470537e-05
-3.186643899097062e-05,-0.0004420167207629958,-3.8349871676177156e-05
-3.182991495693415e-05,-0.00044202378348521886,-3.835023404543803e-05
