S.no,X,Y,Z_theta
235,0.36062090021942306,-2.4943184617920666,0.004372392218392576
236,0.36557507326939004,-2.4942751534463996,0.004374670072290467
237,0.3705310541590537,-2.4942318072897485,0.004376414703261144
238,0.37563896407363856,-2.49418711602897,0.004377666016464989
239,0.38059801273417315,-2.4941437163459033,0.004378255282728022
240,0.38555700920090413,-2.4941003067445373,0.004377311069821577
241,0.39066456206109956,-2.4940556212086356,0.004376690978379502
242,0.3956196035959176,-2.49401232776231,0.0043768491694027535
243,0.40057302295306063,-2.493969207828287,0.004389877890279485
244,0.4056698611394836,-2.4939255655580475,0.004493125981835591
245,0.410568411900055,-2.493881827179384,0.0046173571443638185
246,0.4155071234362291,-2.4938363199989664,0.004640555530881275
247,0.42059771426802567,-2.4937891023096093,0.0046441785465397255
248,0.4255381862361151,-2.4937432471721017,0.004648371444164996
249,0.430479376708571,-2.4936973521783847,0.004652861456290289
250,0.43557166642893197,-2.493649997279151,0.004657225175520894
251,0.4405157801374595,-2.493603969717463,0.004660992344930268
252,0.44546160554872716,-2.4935578821031483,0.004664211643227365
253,0.4505591836527948,-2.4935103434974013,0.004666957348918295
254,0.45550870925653686,-2.493464154084279,0.004669007599790031
255,0.46045978730367354,-2.493417936812079,0.004671669208751988
256,0.4655626188413664,-2.493370279084028,0.004674579756502815
257,0.47051726348761735,-2.493323973692233,0.004676721675209929
258,0.4754736896391552,-2.4932776310593043,0.004678337142864344
259,0.48058199728583856,-2.493229853306976,0.004679454009709371
260,0.48554121724557825,-2.493183455253703,0.004679630952334658
261,0.49049984650171763,-2.493137063932757,0.004678639299506612
262,0.49560681509968185,-2.4930893155933576,0.00467818944009749
263,0.5005612923837205,-2.4930430689675434,0.004679533749000411
264,0.5055146805998053,-2.4929970774209314,0.004704743422719646
265,0.5105978644018895,-2.492950454082477,0.004831685016847518
266,0.5154999982541553,-2.492903519416788,0.004948936129456178
267,0.5204422277792887,-2.4928546648751384,0.0049545536754849635
268,0.5255330542726171,-2.4928042632380643,0.004957594666439689
269,0.5304735575376411,-2.4927553143318906,0.004962019808006226
270,0.5354150395935382,-2.4927063167743326,0.0049664812647144405
271,0.5405077216191346,-2.4926557640647817,0.004970741548806174
272,0.5454522619778943,-2.4926066325313356,0.0049743720136133885
273,0.5503985392174524,-2.492557441120865,0.004977445294565856
274,0.5554965995685217,-2.4925067046018308,0.004980036789145144
275,0.5604465765830304,-2.492457412937436,0.004982011411562135
276,0.565398002448453,-2.4924080977583096,0.004985011229118412
277,0.5705013432380511,-2.492357237177024,0.004987652571000682
278,0.575456453473498,-2.492307825801469,0.00498964174919486
279,0.5804133121650863,-2.492258377751366,0.004991106407895113
280,0.5855219907000414,-2.4922074016522684,0.004992063358778233
281,0.5904812483207731,-2.492157898241215,0.004991731090334047
282,0.5954394168450342,-2.492108419762588,0.004990818611812171
283,0.6005456905744665,-2.492057499715045,0.004990132193620429
284,0.6054997134792347,-2.49200820635709,0.00499404243798776
285,0.6104531744548698,-2.4919595797107092,0.00504069213046943
286,0.6155176555815441,-2.491909322956189,0.005176211416126011
287,0.6204317091906183,-2.4918589450452218,0.005275463621179666
288,0.6253765138367918,-2.4918068170343672,0.005272859594335568
289,0.6304671103591845,-2.4917531807183684,0.005276246281062128
290,0.6354077755267832,-2.4917010922721583,0.00528078753783646
291,0.6403495772098756,-2.491648941611447,0.005285192532966038
292,0.6454426667111905,-2.4915951391210305,0.005289333160231452
293,0.650387640371495,-2.4915428530753294,0.005292822046920559
294,0.6553343741578329,-2.491490507869618,0.00529575499056554
295,0.6604329179775973,-2.4914365207987883,0.005298192026774507
296,0.6653833017724484,-2.4913840784870223,0.005300273542272583
297,0.6703351359244182,-2.491331610434478,0.005303358543764337
298,0.6754389651413002,-2.491277495853193,0.005305836374298514
299,0.6803945322845645,-2.49122492776411,0.005307690875783299
300,0.6853518070837867,-2.4911723233835077,0.005309020268166612
301,0.6904608231119268,-2.491118096488449,0.00530982907637611
302,0.6954199305313561,-2.491065441503715,0.005309058072289257
303,0.7003775990818368,-2.491012823622567,0.005308269351146484
304,0.7054831909800278,-2.4909586801614405,0.0053078728712831974
305,0.7104368192771966,-2.4909063216209977,0.005315824604311032
306,0.7153888855375182,-2.4908551316983427,0.005394745132269587
307,0.7204386920677058,-2.4908011859901507,0.005534745784558836
308,0.7253678642570001,-2.490746914572518,0.005593223948305922
309,0.730310168017092,-2.490691671774448,0.005594729620687246
310,0.7354002769134934,-2.490634758882902,0.005598913121786715
311,0.7403411912057816,-2.490579483860357,0.0056034396980536375
312,0.745283335250644,-2.4905241407044274,0.005607767854213649
313,0.7503768421980032,-2.4904670481075777,0.005611774664628356
314,0.7553222544177424,-2.490411568362257,0.005615114866512032
315,0.7602694474056055,-2.4903560302309335,0.005617901630514671
316,0.7653684762645647,-2.4902987526571003,0.005620166881467175
317,0.7703192246955985,-2.4902431230295217,0.005622510898902482
318,0.7752715056632722,-2.490187460409733,0.0056255035711431575
319,0.7803758183869964,-2.4901300525963435,0.005627819605822469
320,0.7853318323986066,-2.49007428908136,0.00562952617297129
321,0.7902895044471188,-2.490018490072924,0.005630707284284262
322,0.7953987748463387,-2.4899609707798107,0.0056312153842933204
323,0.8003575940649649,-2.48990513268991,0.005630192206239837
324,0.805314722594182,-2.4898493387847522,0.0056295693249855915
325,0.8104197038156565,-2.4897919507824606,0.005629879088243858
326,0.8153731279537685,-2.489736462402903,0.005645470446985293
327,0.8203186261674005,-2.489682357595821,0.005758427186030067
328,0.8253636110009966,-2.489624961175114,0.005894865782858941
329,0.8303020350789495,-2.4895668633256105,0.005914486924398129
330,0.835242807896328,-2.4895084583802,0.005917972355951302
331,0.8403329130725024,-2.4894482589266618,0.005922376783329078
332,0.8452740933130064,-2.489389785335629,0.0059268793774709255
333,0.8502165999477235,-2.4893312413961497,0.005931115501778147
334,0.8553105348089117,-2.489270850414108,0.005934986176111826
335,0.860256389544551,-2.489212168690636,0.005938180285260687
336,0.8652040444711686,-2.4891534291949178,0.005940827101910901
337,0.8703035597510952,-2.489092852670988,0.00594291615754339
338,0.8752546344074579,-2.489034029512068,0.005945698107635795
339,0.8802073976456172,-2.4889751609761905,0.0059484524432567845
340,0.88531218810455,-2.4889144515153094,0.005950623065280539
341,0.890268637530161,-2.4888554840449073,0.00595219333748629
342,0.8952266838175393,-2.4887964819751547,0.005953234818458521
343,0.900336098469752,-2.4887356592310703,0.005953272692286867
344,0.9052945129452005,-2.488676635741153,0.005952244359494452
345,0.9102510559389102,-2.4886176685235157,0.005951728481031158
346,0.9153554766228179,-2.4885570317308257,0.005953490311092053
347,0.9203089958551051,-2.4884985843775373,0.00598322681204603
348,0.9252393398049072,-2.488441145924836,0.006114310172994685
349,0.9302901626180574,-2.488380238927765,0.00623780817671437
350,0.935233767783756,-2.4883186092488194,0.006238464774984306
351,0.9401749821260349,-2.4882570168040106,0.006241193501899853
352,0.9452651355848832,-2.4881935303205474,0.0062457771646675375
353,0.9502066103678299,-2.4881318577793543,0.0062502288627274
354,0.9551494960319383,-2.4880701132732783,0.006254346676048985
355,0.9602438666015977,-2.488006424244461,0.006258063094798155
356,0.9651901698054391,-2.487944541849968,0.0062611041550551675
357,0.970138286804155,-2.4878826009594,0.006263593654258988
358,0.9752382497935915,-2.4878187289393945,0.0062656490619050886
359,0.9801896855843892,-2.4877567109064147,0.0062686900044152715
360,0.9851429304337778,-2.4876946363825643,0.006271220799412202
361,0.9902481919852071,-2.4876306267149837,0.006273244591657559
362,0.9952050632101317,-2.487568456628486,0.0062746753973962855
363,1.000163456498863,-2.487506253119305,0.006275573506398571
364,1.0052728605051162,-2.4874421318077564,0.006275118086845764
365,1.0102307969448436,-2.487379925861916,0.006274188017452893
366,1.0151866442470372,-2.4873177832453894,0.006273482319292151
367,1.0202906273311467,-2.4872539241234897,0.006278201737586863
368,1.0252442043472965,-2.487192849288927,0.006332076345263889
369,1.0301561213009358,-2.4871317440406115,0.006465305533023386
370,1.0352212553562152,-2.4870670396171617,0.006564497152690296
371,1.040165284306726,-2.4870021670935336,0.006563188353341729
372,1.045105941391021,-2.4869373711979437,0.006566664676181861
373,1.0501962735674613,-2.486870579880655,0.0065713488587395745
374,1.0551380688011378,-2.4868056857176635,0.006575744379467494
375,1.060081346637003,-2.486740718162097,0.006579747763893083
376,1.0651761583425499,-2.4866737078720855,0.006583320106406954
377,1.0701229127028955,-2.4866086025424385,0.006586222830023071
378,1.075071492986721,-2.4865434375390074,0.00658856157091645
379,1.0801718609930029,-2.4864762496059027,0.006590759917225113
380,1.0851237103086713,-2.486411009352192,0.0065938398291217675
381,1.090077421686532,-2.4863457073584603,0.006596214126914595
382,1.095183145511824,-2.486278373944601,0.006598095011498077
383,1.1001404219815971,-2.4862129784119533,0.006599385369039443
384,1.1050991272699655,-2.486147550666724,0.0066001250001531475
385,1.110208334625543,-2.486080112828338,0.006599234079766245
386,1.115165754246315,-2.4860147018472514,0.006598430713587765
387,1.1201209371390968,-2.4859493691026264,0.0065980578633405874
388,1.1252245943012964,-2.485882287081257,0.006607647986180904
389,1.1301760430803895,-2.4858186392749726,0.006695062996069264
390,1.1350750868565536,-2.48575397398841,0.006829569974649152
391,1.1401545416642442,-2.485685055809746,0.006885833555206463
392,1.1450962302608463,-2.485617049115245,0.006888014185290129
393,1.1500365154353756,-2.4855490446078865,0.006892133712153327
394,1.1551271080976262,-2.4854789407235613,0.0068967943028462745
395,1.16006924608591,-2.4854108253950464,0.006901105875001931
396,1.1650129255461075,-2.485342635592848,0.006904975437453895
397,1.1701081844624264,-2.4852723048329617,0.006908392642740026
398,1.1750553931550611,-2.4852039773852175,0.006911148702948656
399,1.1800044387632456,-2.4851355894443383,0.006913318892215139
400,1.185105171145633,-2.4850650894232316,0.006915817125654387
401,1.1900574713093275,-2.4849966247817923,0.006918766186816963
402,1.1950116448481343,-2.4849280973082823,0.006920988063585448
403,1.2001178203874643,-2.484857441611526,0.0069227206925639665
404,1.2050754821882845,-2.484788822448942,0.006923866101834877
405,1.2100344056603207,-2.4847201693470415,0.00692427858595711
406,1.2151432874736727,-2.484649424664722,0.006923174323175477
407,1.2201001523733623,-2.4845808121815076,0.006922554281942398
408,1.2250547514633219,-2.4845123096314508,0.006922950097949511
409,1.23015831580267,-2.484442004339574,0.006941593926744506
410,1.2351011609809488,-2.4843754284773016,0.007059068041012091
411,1.239997521933151,-2.4843074585196625,0.007191078364823591
412,1.2450856438779208,-2.4842344728698875,0.007210072201991602
413,1.2500263756092453,-2.4841632766003316,0.007213340574282133
414,1.2549666718855372,-2.48409206293746,0.007217716559712251
415,1.2600575380326309,-2.4840186409944236,0.007222355974497187
416,1.265000037801255,-2.4839473025601415,0.007226575490141793
417,1.2699441287024498,-2.4838758888200454,0.007230314953585849
418,1.275039838649948,-2.483802235824137,0.007233585957753787
419,1.279987503585454,-2.483730684132047,0.007236203426153564
420,1.2849370126292916,-2.483659071604718,0.007238213821487264
421,1.2900380773018405,-2.4835852600971475,0.007241163512088621
422,1.2944688980748302,-2.483522682656275,0.007363737743798168
423,1.298091668857289,-2.4834566313022535,0.006615849906117296
424,1.3012089802587365,-2.483383487360867,0.0036165869850359753
425,1.303642121733824,-2.483362063023474,-0.0015393254493556456
426,1.3055242147666197,-2.483474502393502,-0.008953674717085485
427,1.3069523761916806,-2.483852712127301,-0.01897213366398364
428,1.3079356635027468,-2.4846233351664697,-0.030990815603851838
429,1.3088312495695356,-2.4858811955275497,-0.04429574508512405
430,1.3099938428817508,-2.4876455498911,-0.05802753520531678
431,1.3113565171019768,-2.489813088703602,-0.07137440978485667
432,1.3129494333013683,-2.4924296515371713,-0.08474091166015371
433,1.3148212158868062,-2.495588628344223,-0.09851137225699776
434,1.3168135793162854,-2.4990666426116017,-0.11177176505657425
435,1.3190435435264105,-2.5029950530549545,-0.12508294291025215
436,1.321659300925047,-2.507577370763147,-0.1389948836803389
437,1.324444350368176,-2.5124978600245527,-0.15255015013548068
438,1.3274718188807164,-2.5178845948919792,-0.1661517896750764
439,1.3308487244353853,-2.52390781168422,-0.1801661548102523
440,1.3343762406438302,-2.5302093568870236,-0.19376116551197756
441,1.3381542909769475,-2.537039327827421,-0.20755291018836197
442,1.342314077733904,-2.544588734927016,-0.22183862919238478
443,1.3466143857309936,-2.552422289357048,-0.23578821613525688
444,1.3511775593215987,-2.560762064041916,-0.2498265359949664
445,1.3561583158710449,-2.569893136518702,-0.2643906652580956
446,1.3612682594953587,-2.5792877429533103,-0.2786310771320905
447,1.3666546421622503,-2.589215978165808,-0.2929809549148768
448,1.3724988282548183,-2.6000137563422863,-0.30788699435999833
449,1.3784626782430272,-2.6110567925112655,-0.32247913930071365
450,1.384719635533167,-2.622665634490597,-0.3372007946846918
451,1.3914793072304514,-2.6352306582970964,-0.35251139522880603
452,1.3983507745809165,-2.648025716189037,-0.36751769890598895
453,1.405535234190911,-2.6614249467068523,-0.38267535390353463
454,1.4132723930996096,-2.6758768102785195,-0.3984585367223924
455,1.421114162554026,-2.6905450843429413,-0.4139457770801223
456,1.4292897183661653,-2.7058583266901857,-0.4296048472908068
