S.no,frame_id,child_frame_id,X,Y,Z,o_x,o_y,o_z
57,-,-,-,-,-,-0.499985526342235,-2.49997702678618,8.98584568945221E-05
58,-,-,-,-,-,-0.499921673082194,-2.49995368583186,0.000249752728984
59,-,-,-,-,-,-0.499714792689347,-2.4999381385044,0.000468819398527
60,-,-,-,-,-,-0.499246159095534,-2.4999281589623,0.000742223837442
61,-,-,-,-,-,-0.498355440670181,-2.49992079229147,0.001064326740208
62,-,-,-,-,-,-0.496970762509748,-2.49991399229568,0.001394589411537
63,-,-,-,-,-,-0.494961258664365,-2.4999056736501,0.001717934752521
64,-,-,-,-,-,-0.492132637791723,-2.4998939198296,0.00201633550898
65,-,-,-,-,-,-0.488564304757208,-2.49987817157441,0.002243711992079
66,-,-,-,-,-,-0.484116217017891,-2.49985732849588,0.002375061362322
67,-,-,-,-,-,-0.479018923702674,-2.49983323085989,0.00238069477384
68,-,-,-,-,-,-0.474068317983934,-2.4998096420333,0.002382749059536
69,-,-,-,-,-,-0.469116184347533,-2.49978602581859,0.002385165927858
70,-,-,-,-,-,-0.464012010376061,-2.49976166586831,0.002386720087998
71,-,-,-,-,-,-0.459056115176748,-2.49973800940016,0.002387500401277
72,-,-,-,-,-,-0.454098523415077,-2.49971434886834,0.002387629383954
73,-,-,-,-,-,-0.44898921688281,-2.49968997618507,0.002387105736918
74,-,-,-,-,-,-0.444029997724249,-2.49966634069238,0.002385073324489
75,-,-,-,-,-,-0.439072320189117,-2.4996427494041,0.002383323800827
76,-,-,-,-,-,-0.433966629734782,-2.49961822390668,0.002382567122452
77,-,-,-,-,-,-0.429012972715343,-2.49959427731532,0.002392357588104
78,-,-,-,-,-,-0.424062477990825,-2.4995704846559,0.002454982892349
79,-,-,-,-,-,-0.418997066120539,-2.49954464230147,0.002534660719252
80,-,-,-,-,-,-0.414053759099599,-2.49951957226022,0.002547866947196
81,-,-,-,-,-,-0.409112309777867,-2.49949439150097,0.002550820731984
82,-,-,-,-,-,-0.404022042866677,-2.49946841097173,0.002555024732108
83,-,-,-,-,-,-0.399080889536886,-2.4994431537874,0.002559557065668
84,-,-,-,-,-,-0.394138471579179,-2.49941783799083,0.002563855742958
85,-,-,-,-,-,-0.389044660591479,-2.49939169883844,0.002567810111471
86,-,-,-,-,-,-0.384098940969986,-2.49936628035514,0.002571090881545
87,-,-,-,-,-,-0.379151431943347,-2.49934082254906,0.002573818338087
88,-,-,-,-,-,-0.374052070826797,-2.49931455725543,0.002576009870187
89,-,-,-,-,-,-0.369101049108058,-2.49928903583229,0.002578473517944
90,-,-,-,-,-,-0.364148449679992,-2.49926348099223,0.002581382502878
91,-,-,-,-,-,-0.359043807336125,-2.49923711604334,0.002583624224018
92,-,-,-,-,-,-0.354087479458937,-2.49921150153352,0.002585259605851
93,-,-,-,-,-,-0.349129509882964,-2.49918586929694,0.002586373593746
94,-,-,-,-,-,-0.344019995607704,-2.49915944918994,0.002586751882215
95,-,-,-,-,-,-0.339061113581295,-2.49913382027694,0.002585797556884
96,-,-,-,-,-,-0.334103996373317,-2.49910821810804,0.002585392220087
97,-,-,-,-,-,-0.328999037089497,-2.49908191189793,0.002586231210274
98,-,-,-,-,-,-0.324045802908261,-2.49905635060238,0.002605485037705
99,-,-,-,-,-,-0.319102821441915,-2.49903026753357,0.002683353244076
100,-,-,-,-,-,-0.31403734650903,-2.49900233199099,0.002765206974674
101,-,-,-,-,-,-0.309092709777755,-2.49897504799285,0.002763101277051
102,-,-,-,-,-,-0.304151166458828,-2.49894775485754,0.002765743243096
103,-,-,-,-,-,-0.299060911664814,-2.49891958419161,0.002770218810576
104,-,-,-,-,-,-0.294119470495111,-2.49889219642932,0.002774711765245
105,-,-,-,-,-,-0.28917667059756,-2.49886475039205,0.00277890172248
106,-,-,-,-,-,-0.284082414377039,-2.49883641765112,0.002782706408704
107,-,-,-,-,-,-0.279136236168116,-2.49880887091126,0.002785831001219
108,-,-,-,-,-,-0.274188249861868,-2.49878128623493,0.002788405400569
109,-,-,-,-,-,-0.269088394975141,-2.49875283079362,0.002790440996623
110,-,-,-,-,-,-0.264137035914416,-2.4987251822203,0.002793331806829
111,-,-,-,-,-,-0.259183930945695,-2.49869749833363,0.002795961145581
112,-,-,-,-,-,-0.254078796830176,-2.49866894139114,0.002798048588452
113,-,-,-,-,-,-0.249122021722084,-2.4986412005359,0.002799540393935
114,-,-,-,-,-,-0.244163669818868,-2.49861344337003,0.002800510777206
115,-,-,-,-,-,-0.239054030364817,-2.49858483557131,0.002800402180695
116,-,-,-,-,-,-0.234095572355718,-2.49855709479345,0.002799516459943
117,-,-,-,-,-,-0.229139080700578,-2.4985293964333,0.002798907579559
118,-,-,-,-,-,-0.224034658144473,-2.49850091568531,0.002801764508803
119,-,-,-,-,-,-0.21908147346834,-2.49847332750003,0.0028380665701
120,base_footprint,36,0.013885285601626,-0.009785057568197,2.94395999472401,-0.21908147346834,-2.49847332750003,0.0028380665701
121,-,-,-,-,-,-0.214151569825722,-2.49844457826663,0.002926629512532
122,-,-,-,-,-,-0.209079480932915,-2.49841432369025,0.002994329706369
123,-,-,-,-,-,-0.204135054404825,-2.49838478043215,0.002992262419872
124,-,-,-,-,-,-0.199193917045842,-2.49835521829628,0.00299537901435
125,base_footprint,36,0.013881981283282,-0.008437620414297,2.94853821740102,-0.199193917045842,-2.49835521829628,0.00299537901435
126,base_footprint,36,0.013881981283282,-0.008437620414297,2.94853821740102,-0.194103536687099,-2.49832471144707,0.00300003240609
127,base_footprint,36,0.013881981283282,-0.008437620414297,2.94853821740102,-0.194103536687099,-2.49832471144707,0.00300003240609
128,-,-,-,-,-,-0.189161779166074,-2.49829504773374,0.003004484450357
129,base_footprint,36,0.013636363854581,-0.009090909238864,2.95454549848387,-0.189161779166074,-2.49829504773374,0.003004484450357
130,base_footprint,36,0.013636363854581,-0.009090909238864,2.95454549848387,-0.184218582489371,-2.498265326264,0.003008569431656
131,base_footprint,36,0.013636363854581,-0.009090909238864,2.95454549848387,-0.184218582489371,-2.498265326264,0.003008569431656
132,base_footprint,36,0.013636363854581,-0.009090909238864,2.95454549848387,-0.179123874752607,-2.49823465012658,0.003012234965418
133,-,-,-,-,-,-0.174177233072324,-2.49820483050519,0.003015222054138
134,-,-,-,-,-,-0.169228770078043,-2.49817497271918,0.003017650436594
135,-,-,-,-,-,-0.164128468819276,-2.49814417699663,0.003019723070452
136,-,-,-,-,-,-0.159176712902472,-2.4981142548728,0.003022774354194
137,-,-,-,-,-,-0.154223119832081,-2.49808429550122,0.003025220679143
