S.no,time_stamp,X,Y,Z,X_O,Y_O,Z_O
2843,2022-06-12 20:16:01.554203510,0.15,0.06565446853637695,0.0,0.0,0.0,-0.061008860170841214
2844,2022-06-12 20:16:01.556535720,0.15,0.06741275042295455,0.0,0.0,0.0,-0.061008860170841214
2845,2022-06-12 20:16:01.577981948,0.15,0.06917103230953216,0.0,0.0,0.0,-0.05397572815418243
2846,2022-06-12 20:16:01.578320980,0.15,0.07268760055303573,0.0,0.0,0.0,-0.05397572815418243
2847,2022-06-12 20:16:01.578886508,0.14649384319782258,0.07268760055303573,0.0,0.0,0.0,-0.05397572815418243
2848,2022-06-12 20:16:01.580484867,0.14649384319782258,0.07444067895412444,0.0,0.0,0.0,-0.05397572815418243
2849,2022-06-12 20:16:01.591002464,0.1447355568408966,0.07444067895412444,0.0,0.0,0.0,-0.05397572815418243
2850,2022-06-12 20:16:01.591235876,0.1447355568408966,0.07795724272727966,0.0,0.0,0.0,-0.050469566881656644
2851,2022-06-12 20:16:01.593205928,0.14121899306774138,0.07795724272727966,0.0,0.0,0.0,-0.050469566881656644
2852,2022-06-12 20:16:01.596552848,0.14121899306774138,0.07971552908420562,0.0,0.0,0.0,-0.050469566881656644
2853,2022-06-12 20:16:01.602136373,0.1394659101963043,0.07971552908420562,0.0,0.0,0.0,-0.050469566881656644
2854,2022-06-12 20:16:01.609577655,0.1394659101963043,0.08323209285736084,0.0,0.0,0.0,-0.050469566881656644
2855,2022-06-12 20:16:01.612487792,0.1359493464231491,0.0849851667881012,0.0,0.0,0.0,-0.04343643933534622
2856,2022-06-12 20:16:01.620807409,0.1359493464231491,0.08850173950195313,0.0,0.0,0.0,-0.04343643933534622
2857,2022-06-12 20:16:01.626399040,0.1359493464231491,0.08850173950195313,0.0,0.0,0.0,-0.03991987556219101
2858,2022-06-12 20:16:01.630789279,0.13419106900691985,0.08850173950195313,0.0,0.0,0.0,-0.03289715051651001
2859,2022-06-12 20:16:01.634410142,0.13419106900691985,0.08850173950195313,0.0,0.0,0.0,-0.025864020735025407
2860,2022-06-12 20:16:01.640541791,0.13419106900691985,0.08850173950195313,0.0,0.0,0.0,-0.022347456961870193
2861,2022-06-12 20:16:01.654891490,0.13419106900691985,0.08850173950195313,0.0,0.0,0.0,-0.015324730798602103
2862,2022-06-12 20:16:01.660625934,0.13419106900691985,0.08850173950195313,0.0,0.0,0.0,0.0
2863,2022-06-12 20:16:01.668802261,0.13419106900691985,0.09026001691818238,0.0,0.0,0.0,0.0
2864,2022-06-12 20:16:01.669102191,0.13419106900691985,0.09026001691818238,0.0,0.0,0.0,0.0
2865,2022-06-12 20:16:01.675179004,0.1324327826499939,0.09026001691818238,0.0,0.0,0.0,0.0
2866,2022-06-12 20:16:01.678726434,0.1324327826499939,0.09377137720584869,0.0,0.0,0.0,0.0
2867,2022-06-12 20:16:01.680535078,0.1324327826499939,0.09377137720584869,0.0,0.0,0.0,0.0
2868,2022-06-12 20:16:01.687596321,0.12892142236232756,0.09552966356277466,0.0,0.0,0.0,0.0
2869,2022-06-12 20:16:01.690774679,0.12892142236232756,0.09552966356277466,0.0,0.0,0.0,0.0
2870,2022-06-12 20:16:01.693734884,0.12892142236232756,0.09728794097900391,0.0,0.0,0.0,0.0
2871,2022-06-12 20:16:01.697224617,0.1271631360054016,0.09728794097900391,0.0,0.0,0.0,0.0
2872,2022-06-12 20:16:01.708657264,0.1271631360054016,0.10080451369285583,0.0,0.0,0.0,0.0
2873,2022-06-12 20:16:01.708952426,0.1271631360054016,0.10080451369285583,0.0,0.0,0.0,0.0
2874,2022-06-12 20:16:01.712395429,0.1236465722322464,0.10080451369285583,0.0,0.0,0.0,0.0
2875,2022-06-12 20:16:01.732779502,0.1236465722322464,0.10256279110908507,0.0,0.0,0.0,0.0
2876,2022-06-12 20:16:01.754494667,0.12188829481601715,0.10256279110908507,0.0,0.0,0.0,0.0
2877,2022-06-12 20:16:01.774660825,0.12188829481601715,0.10256279110908507,0.0,0.0,0.0,0.0
2878,2022-06-12 20:16:01.793163776,0.12188829481601715,0.10256279110908507,0.0,0.0,0.0,0.0
2879,2022-06-12 20:16:01.809210300,0.12188829481601715,0.1060741513967514,0.0,0.0,0.0,0.0
2880,2022-06-12 20:16:01.827282905,0.12188829481601715,0.1060741513967514,0.0,0.0,0.0,0.0
2881,2022-06-12 20:16:01.829117536,0.11837692558765411,0.1060741513967514,0.0,0.0,0.0,0.0
2882,2022-06-12 20:16:01.851157426,0.11837692558765411,0.1060741513967514,0.0,0.0,0.0,0.0
2883,2022-06-12 20:16:01.870834827,0.11837692558765411,0.10783243775367736,0.0,0.0,0.0,0.0
2884,2022-06-12 20:16:01.876526594,0.11661864817142487,0.10783243775367736,0.0,0.0,0.0,0.0
2885,2022-06-12 20:16:01.880327224,0.11661864817142487,0.11134900152683258,0.0,0.0,0.0,0.0
2886,2022-06-12 20:16:01.889496326,0.11486036181449889,0.11310208439826964,0.0,0.0,0.0,0.0
2887,2022-06-12 20:16:01.892533779,0.11134900152683258,0.11661864817142487,0.0,0.0,0.0,0.0
2888,2022-06-12 20:16:01.902533769,0.10959071516990661,0.11661864817142487,0.0,0.0,0.0,0.0
2889,2022-06-12 20:16:01.908019542,0.10959071516990661,0.11837692558765411,0.0,0.0,0.0,0.0
2890,2022-06-12 20:16:01.912544965,0.1060741513967514,0.11837692558765411,0.0,0.0,0.0,0.0
2891,2022-06-12 20:16:01.934355258,0.1060741513967514,0.11837692558765411,0.0,0.0,0.0,0.0
2892,2022-06-12 20:16:01.952965259,0.1060741513967514,0.11837692558765411,0.0,0.0,0.0,0.0
2893,2022-06-12 20:16:01.977241754,0.1060741513967514,0.11837692558765411,0.0,0.0,0.0,0.0
2894,2022-06-12 20:16:01.986777544,0.11486036181449889,0.11837692558765411,0.0,0.0,0.0,0.0
2895,2022-06-12 20:16:02.2367258,0.11661864817142487,0.11837692558765411,0.0,0.0,0.0,0.0
2896,2022-06-12 20:16:02.25251388,0.11661864817142487,0.11837692558765411,0.0,0.0,0.0,0.0
2897,2022-06-12 20:16:02.43665885,0.11661864817142487,0.11837692558765411,0.0,0.0,0.0,0.0
2898,2022-06-12 20:16:02.64571619,0.11661864817142487,0.11837692558765411,0.0,0.0,0.0,0.0
2899,2022-06-12 20:16:02.82556247,0.11661864817142487,0.11837692558765411,0.0,0.0,0.0,0.0
2900,2022-06-12 20:16:02.105160474,0.11661864817142487,0.11837692558765411,0.0,0.0,0.0,0.0
2901,2022-06-12 20:16:02.122327327,0.11661864817142487,0.11837692558765411,0.0,0.0,0.0,0.0
2902,2022-06-12 20:16:02.129541397,0.11837692558765411,0.11837692558765411,0.0,0.0,0.0,0.0
2903,2022-06-12 20:16:02.133895158,0.12188829481601715,0.11837692558765411,0.0,0.0,0.0,0.0
2904,2022-06-12 20:16:02.136040687,0.1236465722322464,0.11837692558765411,0.0,0.0,0.0,0.0
2905,2022-06-12 20:16:02.145437002,0.1271631360054016,0.11837692558765411,0.0,0.0,0.0,0.0
2906,2022-06-12 20:16:02.148157358,0.12892142236232756,0.11837692558765411,0.0,0.0,0.0,0.0
2907,2022-06-12 20:16:02.152293205,0.1324327826499939,0.11134900152683258,0.0,0.0,0.0,0.0
2908,2022-06-12 20:16:02.156126260,0.1324327826499939,0.1060741513967514,0.0,0.0,0.0,0.0
2909,2022-06-12 20:16:02.160345554,0.13419106900691985,0.10256279110908507,0.0,0.0,0.0,0.0
