S.no,frame_id,child_frame_id,X,Y,Z
145,odom,base_footprint,-0.11412170111893762,-2.4978418001125626,-0.0010083455800390453
146,odom,base_footprint,-0.10920586004435702,-2.4978103436377848,-0.001007693600605427
147,odom,base_footprint,-0.10412266552417039,-2.4977775751238886,-0.0010084930536593331
148,base_footprint,Frame_36,0.015365597992065667,-0.006625121701540781,2.856908753406706
149,odom,base_footprint,-0.09918029475629385,-2.497745647431684,-0.0010083297151356162
150,base_footprint,Frame_36,0.014878086244675065,-0.0070653123849215346,2.8204918520119415
151,odom,base_footprint,-0.0942397195527632,-2.497713688308139,-0.0010081580204908264
152,base_footprint,Frame_36,0.014878086244675065,-0.0070653123849215346,2.8204918520119415
153,odom,base_footprint,-0.08914910592123795,-2.4976807204924523,-0.001007918931509609
154,odom,base_footprint,-0.08420700719349387,-2.497648661677165,-0.0010077305742756046
155,base_footprint,Frame_36,0.014878086244675065,-0.0070653123849215346,2.8204918520119415
156,odom,base_footprint,-0.07926340112642857,-2.497616545743935,-0.0010075934172605605
157,base_footprint,Frame_36,0.015534547487989632,-0.009088455192554995,2.798877182094191
158,odom,base_footprint,-0.07416823593125951,-2.497583403507974,-0.0010074901068589381
159,base_footprint,Frame_36,0.01635513034865066,-0.007210482379910402,2.7860381915278905
160,odom,base_footprint,-0.06922112740368716,-2.497551191810469,-0.0010074309005672633
161,odom,base_footprint,-0.06427218536059244,-2.4975189420555113,-0.0010074066946012886
162,base_footprint,Frame_36,0.01635513034865066,-0.007210482379910402,2.7860381915278905
163,odom,base_footprint,-0.05917148005358065,-2.4974856828161687,-0.001007418557557
164,base_footprint,Frame_36,0.015395124411551272,-0.006062820864513642,2.761268680637727
165,odom,base_footprint,-0.054219283574504736,-2.4974533668705403,-0.0010074586100152147
166,base_footprint,Frame_36,0.014548284531259571,-0.0069092281266946295,2.7612418276812356
167,odom,base_footprint,-0.049265210543232435,-2.4974210132014623,-0.0010075366406020365
168,base_footprint,Frame_36,0.014548284531259571,-0.0069092281266946295,2.7612418276812356
169,odom,base_footprint,-0.044159117281307246,-2.4973876490176306,-0.0010076515810626269
170,base_footprint,Frame_36,0.014548284531259571,-0.0069092281266946295,2.7612418276812356
171,odom,base_footprint,-0.039201494462036156,-2.497355244302084,-0.0010078103791248821
172,base_footprint,Frame_36,0.01732652267802633,-0.006805648719893303,2.7401110820687005
173,odom,base_footprint,-0.034242481197524384,-2.497322826169298,-0.0010080202635317226
174,base_footprint,Frame_36,0.01594210794158825,-0.006897423059205642,2.7290352652169374
